from_account,to_account,channel,amount,timestamp
A008,A016,mobile_app,2955,2026-02-28T18:50:07.090251
A004,A005,atm,2478,2026-02-28T18:51:45.090251
A009,A023,atm,1737,2026-02-28T18:54:39.090251
A018,A021,wallet,2314,2026-02-28T18:55:19.090251
A011,A002,wallet,4577,2026-02-28T18:55:52.090251
A006,A022,mobile_app,2533,2026-02-28T18:57:34.090251
A001,A021,atm,4813,2026-02-28T18:58:21.090251
A014,A024,atm,286,2026-02-28T18:59:34.090251
A004,A025,wallet,2965,2026-02-28T19:00:30.090251
A015,A023,atm,4969,2026-02-28T19:01:37.090251
A020,A008,wallet,1584,2026-02-28T19:04:34.090251
A013,A021,wallet,3450,2026-02-28T19:05:46.090251
A013,A012,atm,4147,2026-02-28T19:08:35.090251
A014,A021,mobile_app,3414,2026-02-28T19:10:32.090251
A004,A021,atm,1391,2026-02-28T19:12:47.090251
A005,A025,mobile_app,2250,2026-02-28T19:15:32.090251
A013,A012,atm,2614,2026-02-28T19:18:01.090251
A006,A007,mobile_app,1069,2026-02-28T19:20:57.090251
A015,A009,atm,3407,2026-02-28T19:21:45.090251
A017,A013,mobile_app,2343,2026-02-28T19:24:25.090251
A006,A010,mobile_app,4387,2026-02-28T19:26:49.090251
A014,A024,mobile_app,405,2026-02-28T19:27:55.090251
A005,A022,mobile_app,3429,2026-02-28T19:30:48.090251
A014,A024,mobile_app,1579,2026-02-28T19:32:56.090251
A015,A011,wallet,3908,2026-02-28T19:34:08.090251
A010,A021,wallet,2489,2026-02-28T19:35:20.090251
A006,A001,mobile_app,1661,2026-02-28T19:38:16.090251
A020,A023,mobile_app,1875,2026-02-28T19:39:33.090251
A006,A016,mobile_app,3552,2026-02-28T19:41:46.090251
A019,A002,atm,782,2026-02-28T19:43:41.090251
A005,A014,mobile_app,1185,2026-02-28T19:45:51.090251
A014,A023,wallet,1558,2026-02-28T19:48:06.090251
A017,A009,wallet,4279,2026-02-28T19:50:32.090251
A018,A022,wallet,4731,2026-02-28T19:52:26.090251
A005,A021,mobile_app,276,2026-02-28T19:54:58.090251
A009,A015,atm,3372,2026-02-28T19:55:46.090251
A009,A022,mobile_app,2496,2026-02-28T19:58:27.090251
A016,A023,mobile_app,1783,2026-02-28T20:00:50.090251
A009,A008,mobile_app,4762,2026-02-28T20:03:15.090251
A003,A006,mobile_app,3244,2026-02-28T20:05:08.090251
A007,A023,mobile_app,1991,2026-02-28T20:06:00.090251
A012,A022,atm,2674,2026-02-28T20:06:54.090251
A003,A025,wallet,3371,2026-02-28T20:08:26.090251
A009,A020,atm,1242,2026-02-28T20:09:33.090251
A008,A006,mobile_app,1585,2026-02-28T20:11:36.090251
A019,A023,wallet,778,2026-02-28T20:14:16.090251
A010,A022,mobile_app,976,2026-02-28T20:16:57.090251
A012,A004,atm,4862,2026-02-28T20:18:39.090251
A018,A013,mobile_app,4618,2026-02-28T20:19:28.090251
A003,A022,atm,4125,2026-02-28T20:21:04.090251
A016,A007,mobile_app,3535,2026-02-28T20:21:38.090251
A003,A007,mobile_app,2315,2026-02-28T20:22:34.090251
A001,A022,mobile_app,3693,2026-02-28T20:23:16.090251
A001,A019,mobile_app,210,2026-02-28T20:25:04.090251
A014,A022,mobile_app,4313,2026-02-28T20:27:33.090251
A006,A023,wallet,1070,2026-02-28T20:28:44.090251
A001,A018,mobile_app,1625,2026-02-28T20:31:33.090251
A008,A003,mobile_app,3058,2026-02-28T20:32:21.090251
A004,A014,atm,4147,2026-02-28T20:34:41.090251
A020,A011,atm,3767,2026-02-28T20:36:41.090251
A018,A016,atm,743,2026-02-28T20:39:02.090251
A007,A023,mobile_app,378,2026-02-28T20:40:38.090251
A012,A018,mobile_app,3916,2026-02-28T20:42:41.090251
A011,A020,mobile_app,3689,2026-02-28T20:43:51.090251
A008,A021,mobile_app,1805,2026-02-28T20:44:42.090251
A001,A023,mobile_app,820,2026-02-28T20:46:57.090251
A016,A021,wallet,1489,2026-02-28T20:48:44.090251
A003,A025,mobile_app,4573,2026-02-28T20:51:09.090251
A003,A025,wallet,4698,2026-02-28T20:52:25.090251
A012,A025,mobile_app,3331,2026-02-28T20:53:53.090251
A013,A021,atm,705,2026-02-28T20:55:40.090251
A016,A019,mobile_app,3328,2026-02-28T20:57:04.090251
A014,A024,atm,1150,2026-02-28T20:57:53.090251
A011,A008,atm,787,2026-02-28T20:59:39.090251
A012,A019,mobile_app,3223,2026-02-28T21:00:45.090251
A010,A024,mobile_app,2027,2026-02-28T21:03:10.090251
A018,A007,mobile_app,3978,2026-02-28T21:03:58.090251
A008,A023,atm,519,2026-02-28T21:04:31.090251
A007,A021,wallet,3920,2026-02-28T21:06:34.090251
A009,A021,mobile_app,2865,2026-02-28T21:08:37.090251
A009,A024,mobile_app,4844,2026-02-28T21:10:16.090251
A002,A017,wallet,4868,2026-02-28T21:12:39.090251
A010,A024,mobile_app,292,2026-02-28T21:14:08.090251
A003,A025,atm,2400,2026-02-28T21:14:41.090251
A016,A011,atm,3010,2026-02-28T21:15:46.090251
A010,A025,mobile_app,2609,2026-02-28T21:16:25.090251
A004,A012,mobile_app,853,2026-02-28T21:17:35.090251
A016,A013,mobile_app,1749,2026-02-28T21:19:17.090251
A008,A024,wallet,1391,2026-02-28T21:19:59.090251
A007,A018,mobile_app,1783,2026-02-28T21:20:46.090251
